title,company,location,work_type,level,compensation,link,id,scraped_date
CTIO-AI Engineer-Sr Associate,PwC,,,,,https://www.builtinla.com/job/ctio-ai-engineer-sr-associate/11293917,11293917,2026-09-23
"Guidewire AI Developer, Senior Associate",PwC,,,,,https://www.builtinla.com/job/guidewire-ai-developer-senior-associate/11293900,11293900,2026-09-23
CTIO - AI Engineer- Senior Manager,PwC,,,,,https://www.builtinla.com/job/ctio-ai-engineer-senior-manager/10731159,10731159,2026-09-23
NGA AI Engineer Manager,PwC,,,,,https://www.builtinla.com/job/nga-ai-engineer-manager/10394111,10394111,2026-09-23
AI Engineer Intern,Vantor,,,,,https://www.builtinla.com/job/ai-engineer-intern/11318651,11318651,2026-09-23
"Sr. Staff Engineer - Applied AI, Patient  (Remote)",Rula,,,,,https://www.builtinla.com/job/sr-staff-engineer-applied-ai-patient-remote/11314200,11314200,2026-09-23
Sr. AI/Automation Engineer -  HR Technology (Remote India - Night Shift),General Motors,,,,,https://www.builtinla.com/job/sr-ai-automation-engineer-hr-technology-remote-india-night-shift/11293801,11293801,2026-09-23
GTM AI Engineer -Deal Desk,Motive,,,,,https://www.builtinla.com/job/gtm-ai-engineer-deal-desk/11265300,11265300,2026-09-23
"Machine Learning Engineer (II-III), Space Agentic AI",True Anomaly,,,,,https://www.builtinla.com/job/machine-learning-engineer-ii-iii-space-agentic-ai/11090350,11090350,2026-09-23
"Principal Staff Engineer, AI Platform Research, Data Science (Remote)",CrowdStrike,,,,,https://www.builtinla.com/job/principal-staff-engineer-ai-platform-research-data-science-remote/10589194,10589194,2026-09-23
"Senior Analytics Engineer, AI & DX Analytics",Block,,,,,https://www.builtinla.com/job/senior-analytics-engineer-ai-dx-analytics/11243825,11243825,2026-09-23
"Senior Analytics Engineer, AI & DX Analytics",Cash App,,,,,https://www.builtinla.com/job/senior-analytics-engineer-ai-dx-analytics/11242218,11242218,2026-09-23
"Staff Security Engineer, Enterprise AI",Affirm,,,,,https://www.builtinla.com/job/staff-product-security-engineer/11186891,11186891,2026-09-23
AI Engineer,EMCOR Group Inc.,,,,,https://www.builtinla.com/job/ai-engineer/11170448,11170448,2026-09-23
People AI & Automation Engineer,Deepgram,,,,,https://www.builtinla.com/job/people-ai-automation-engineer/11139682,11139682,2026-09-23
Staff Applied AI Engineer,Forward Financing,,,,,https://www.builtinla.com/job/staff-applied-ai-engineer/11091622,11091622,2026-09-23
"Senior Threat Engineer - AI-Powered Detection, Response & Continuous AI Red Teaming",CDW,,,,,https://www.builtinla.com/job/senior-threat-engineer-ai-powered-detection-response-continuous-ai-red-teaming/11081742,11081742,2026-09-23
Staff AI Engineer (Data & Intelligence function),Acquia,,,,,https://www.builtinla.com/job/staff-ai-engineer/11071286,11071286,2026-09-23
Professional Services Technical Operations Engineer - Agentic AI (Remote),CrowdStrike,,,,,https://www.builtinla.com/job/professional-services-technical-operations-engineer-agentic-ai-remote/10326081,10326081,2026-09-23
"Staff Software Engineer, GTM & AI Strategy",Toast,,,,,https://www.builtinla.com/job/staff-software-engineer-gtm-ai-strategy/11064590,11064590,2026-09-23
Senior Business Intelligence Engineer- AI-Driven Analytics,SambaSafety,,,,,https://www.builtinla.com/job/senior-business-intelligence-engineer-ai-driven-analytics/10298902,10298902,2026-09-23
"Senior Alliance Manager, AI Infrastructure, Data Factory & Developer Partnerships (Bay Area Based)",Wasabi Technologies,,,,,https://www.builtinla.com/job/senior-alliance-manager-ai-infrastructure-data-factory-developer-partnerships/11052545,11052545,2026-09-23
Full-Stack Developer — AI Applications & Integrations,Cognitive Media,,,,,https://www.builtinla.com/job/full-stack-developer-ai-applications-integrations/11294592,11294592,2026-09-23
Sr. Staff AI Software Engineer,Northrop Grumman,,,,,https://www.builtinla.com/job/sr-staff-ai-software-engineer/11291031,11291031,2026-09-23
Software Engineer – AI Automation (Internal Tools),Voyager Technologies,,,,,https://www.builtinla.com/job/software-engineer-ai-automation-internal-tools/11287965,11287965,2026-09-23
"Perception Engineer, AI",True Anomaly,,,,,https://www.builtinla.com/job/navigation-tracking-engineer/7916902,7916902,2026-09-23
"Staff Software Engineer, Go-to-Market Systems & AI",Square,,,,,https://www.builtinla.com/job/staff-software-engineer-go-market-systems-ai/10949548,10949548,2026-09-23
"Staff Software Engineer, Go-to-Market Systems & AI",Block,,,,,https://www.builtinla.com/job/staff-software-engineer-go-market-systems-ai/10944054,10944054,2026-09-23
"Senior Software Engineer, Data & AI",Lightspark,,,,,https://www.builtinla.com/job/senior-software-engineer-data-ai/11094115,11094115,2026-09-23
"Senior Security Engineer, AI Enablement",JLL,,,,,https://www.builtinla.com/job/senior-security-engineer-ai-enablement/10727865,10727865,2026-09-23
Staff Application Engineer - Enterprise Data & AI (Intelligence Platform),Riot Games,,,,,https://www.builtinla.com/job/staff-application-engineer-enterprise-data-ai-intelligence-platform/11260163,11260163,2026-09-23
Senior AI Platform & Tools Engineer,Crunchyroll,,,,,https://www.builtinla.com/job/senior-ai-platform-tools-engineer/10767662,10767662,2026-09-23
Senior AI Solutions Engineer,Crunchyroll,,,,,https://www.builtinla.com/job/senior-ai-solutions-engineer/10767610,10767610,2026-09-23
"Senior Compliance Engineer, AI Governance",True Anomaly,,,,,https://www.builtinla.com/job/senior-compliance-engineer-ai-governance/10764465,10764465,2026-09-23
Applied AI Engineer (Hybrid),RTX,,,,,https://www.builtinla.com/job/applied-ai-engineer-hybrid/11239686,11239686,2026-09-23
AI Platform Engineer (Hybrid),RTX,,,,,https://www.builtinla.com/job/ai-platform-engineer-hybrid/11239675,11239675,2026-09-23
"AI, HPC & GPU Infrastructure Support Engineer",Vast.ai,,,,,https://www.builtinla.com/job/ai-hpc-gpu-infrastructure-support-engineer/11234153,11234153,2026-09-23
Lead AI Product Engineer - AI Agents & Emerging Products,System1,,,,,https://www.builtinla.com/job/lead-ai-product-engineer-ai-agents-emerging-products/8196329,8196329,2026-09-23
Senior Customer Engineer-  (AI & Start-Ups). Los Angeles,Cloudflare,,,,,https://www.builtinla.com/job/senior-solution-engineer-ai-start-ups-los-angeles/10299405,10299405,2026-09-23
AI Software Engineer,Relativity Space,,,,,https://www.builtinla.com/job/ai-software-engineer/10750370,10750370,2026-09-23
AI Software Engineer II,Relativity Space,,,,,https://www.builtinla.com/job/ai-software-engineer-ii/10750365,10750365,2026-09-23
AI Integrations Staff Engineer,Vetcove,,,,,https://www.builtinla.com/job/ai-integrations-staff-engineer/10910908,10910908,2026-09-23
Computer Vision AI Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/computer-vision-ai-engineer/10900470,10900470,2026-09-23
Applied AI Engineer,Monte Carlo,,,,,https://www.builtinla.com/job/senior-ai-engineer/10900142,10900142,2026-09-23
AI/ML Engineer - Dragonfly Portfolio,Dragonfly,,,,,https://www.builtinla.com/job/ai-ml-engineer-dragonfly-portfolio/11176171,11176171,2026-09-23
"Sr. Network Engineer, AI Infrastructure (Starshield)",SpaceX,,,,,https://www.builtinla.com/job/sr-network-engineer-ai-infrastructure-starshield/11175501,11175501,2026-09-23
"Site Reliability Engineer, AI Infrastructure (Starshield)",SpaceX,,,,,https://www.builtinla.com/job/site-reliability-engineer-ai-infrastructure-starshield/11175493,11175493,2026-09-23
"Sr. Site Reliability Engineer, AI Infrastructure (Starshield)",SpaceX,,,,,https://www.builtinla.com/job/sr-site-reliability-engineer-ai-infrastructure-starshield/11175491,11175491,2026-09-23
"Network Engineer, AI Infrastructure (Starshield)",SpaceX,,,,,https://www.builtinla.com/job/network-engineer-ai-infrastructure-starshield/11175479,11175479,2026-09-23
Principal AI Engineer - Personalization and Recommendation (Remote),Rula,,,,,https://www.builtinla.com/job/principal-ai-engineer-personalization-and-recommendation-remote/10860782,10860782,2026-09-23
"Forward Deployed Engineer, AI and Agentic SDLC",GitLab,,,,,https://www.builtinla.com/job/forward-deployed-engineer/9274477,9274477,2026-09-23
AI Computer Vision Engineer,AssistIQ,,,,,https://www.builtinla.com/job/ai-computer-vision-engineer/11322489,11322489,2026-09-23
Sr. AI Software Engineer  - USA,Cogniify,,,,,https://www.builtinla.com/job/forward-deployed-engineer/10146594,10146594,2026-09-23
Principal Software Engineer - AI Frameworks,Microsoft,,,,,https://www.builtinla.com/job/principal-software-engineer-ai-frameworks/10690723,10690723,2026-09-23
"Principal Software Engineer, Integration and Automation - AI Infrastructure",Microsoft,,,,,https://www.builtinla.com/job/principal-software-engineer-integration-and-automation-ai-infrastructure/11321130,11321130,2026-09-23
Digital Solutions - AI & Automantion - Senior Developer (MuleSoft),Connor Group,,,,,https://www.builtinla.com/job/digital-solutions-ai-automantion-senior-developer-mulesoft/11318931,11318931,2026-09-23
Lead AI Engineer,VioletX,,,,,https://www.builtinla.com/job/lead-ai-engineer/9686585,9686585,2026-09-23
Principal Software Engineer- AI Frameworks,Microsoft,,,,,https://www.builtinla.com/job/principal-software-engineer-ai-frameworks/11196884,11196884,2026-09-23
"Staff Software Engineer, Backend - Platform (Core AI Automation)",Coinbase,,,,,https://www.builtinla.com/job/staff-software-engineer-backend-platform-core-ai-automation/10838304,10838304,2026-09-23
"Senior Integration & API Developer – AWS, Python and AI Agents","Qued, Inc.",,,,,https://www.builtinla.com/job/senior-integration-api-developer-aws-python-and-ai-agents/11313275,11313275,2026-09-23
Senior AI/ML Engineer,Trans Ova,,,,,https://www.builtinla.com/job/senior-ai-ml-engineer/11311582,11311582,2026-09-23
Lead AI Engineer,KeyBank,,,,,https://www.builtinla.com/job/technical-lead/9133120,9133120,2026-09-23
Senior AI Software Engineer,Placer.ai,,,,,https://www.builtinla.com/job/senior-ai-software-engineer/11306825,11306825,2026-09-23
AI Reliability Engineer (HPC),Microsoft,,,,,https://www.builtinla.com/job/site-reliability-engineer-hpc/10219006,10219006,2026-09-23
Senior AI/ML Engineer,Leachman Cattle,,,,,https://www.builtinla.com/job/senior-ai-ml-engineer/11299798,11299798,2026-09-23
AI Engineer Intern,Incepta,,,,,https://www.builtinla.com/job/ai-engineer-intern/11046237,11046237,2026-09-23
AI Software Engineer,Gaya Technologies Inc,,,,,https://www.builtinla.com/job/ai-software-engineer/10415378,10415378,2026-09-23
Staff AI Engineer,Conveyor,,,,,https://www.builtinla.com/job/staff-ai-engineer/9334892,9334892,2026-09-23
Solution Engineer - Cloud & AI Data Platform,Microsoft,,,,,https://www.builtinla.com/job/solution-engineer-cloud-ai-data-platform/10906398,10906398,2026-09-23
Software Engineer II and/or Senior Software Engineer - AI Compilers,Microsoft,,,,,https://www.builtinla.com/job/software-engineer-ii-and-or-senior-software-engineer-ai-compilers/10487198,10487198,2026-09-23
Senior Software Engineer- AI Frameworks,Microsoft,,,,,https://www.builtinla.com/job/senior-software-engineer-ai-frameworks/11196868,11196868,2026-09-23
AI Software Engineer - Staff/Principal,Seeq,,,,,https://www.builtinla.com/job/ai-software-engineer-staff-principal/11291266,11291266,2026-09-23
Senior and/or Principal Software Engineer- AI Frameworks,Microsoft,,,,,https://www.builtinla.com/job/senior-and-or-principal-software-engineer-ai-infrastructure/11196888,11196888,2026-09-23
Senior AI Software Engineer,xCures,,,,,https://www.builtinla.com/job/senior-ai-software-engineer/11290517,11290517,2026-09-23
Senior Applied AI Engineer,Groundswell,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer/11289976,11289976,2026-09-23
Applied AI Engineer,Groundswell,,,,,https://www.builtinla.com/job/applied-ai-engineer/11289973,11289973,2026-09-23
